ID,BC.Len,BC.Age,Site,Sex
15DHLAP2,317.84,1,DH,F
15DHLAP2,435.2,2,DH,F
15DHLAP2,505.58,3,DH,F
15DHLAP2,556.17,4,DH,F
15DHLAP2,598.2,5,DH,F
15DHLAP2,622.68,6,DH,F
15PNLAP1,256.75,1,PN,F
15PNLAP1,398,2,PN,F
15PNLAP1,488.64,3,PN,F
15PNLAP1,554.99,4,PN,F
15PNLAP1,595.02,5,PN,F
15PNLAP1,624.83,6,PN,F
15PNLAP2,299.25,1,PN,F
15PNLAP2,414.1,2,PN,F
15PNLAP2,480.25,3,PN,F
15PNLAP2,525.49,4,PN,F
15PNLAP2,591.2,5,PN,F
15PNLAP2,642.69,6,PN,F
15PNLAP3,197,1,PN,M
15PNLAP3,282.14,2,PN,M
15PNLAP3,340.22,3,PN,M
15PNLAP3,433.86,4,PN,M
15PNLAP3,500.76,5,PN,M
15PNLAP3,527.82,6,PN,M
15PNLAP3,552.44,7,PN,M
15PNLAP3,576.77,8,PN,M
15PNLAP3,588.62,9,PN,M
15PNLAP3,598.65,10,PN,M
15PNLAP3,608.99,11,PN,M
15PNLAP3,613.55,12,PN,M
15PNLAP3,618.4,13,PN,M
15PNLAP3,623.27,14,PN,M
15PNLAP3,626.63,15,PN,M
15PNLAP3,629.36,16,PN,M
15PNLAP3,631.18,17,PN,M
15PNLAP4,267.06,1,PN,F
15PNLAP4,389.15,2,PN,F
15PNLAP4,448.97,3,PN,F
15PNLAP4,577.3,4,PN,F
15PNLAP4,606.24,5,PN,F
15PNLAP4,621.7,6,PN,F
15PNLAP5,260,1,PN,M
15PNLAP5,399.27,2,PN,M
15PNLAP5,444.02,3,PN,M
15PNLAP5,477.73,4,PN,M
15PNLAP5,498.24,5,PN,M
15PNLAP5,525.83,6,PN,M
15PNLAP5,542.13,7,PN,M
15PNLAP6,256.22,1,PN,F
15PNLAP6,395.23,2,PN,F
15PNLAP17,340.73,1,PN,F
15PNLAP17,443.1,2,PN,F
15PNLAP17,516.45,3,PN,F
15PNLAP17,542.4,4,PN,F
15PNLAP17,563.11,5,PN,F
15PNLAP17,599.34,6,PN,F
15PNLAP17,634.53,7,PN,F
15PGLAP1,284.35,1,PG,M
15PGLAP2,289.71,1,PG,M
15PGLAP3,247.92,1,PG,M
15PGLAP4,266.03,1,PG,M
15PGLAP5,257.78,1,PG,F
15PGLAP5,368.31,2,PG,F
15PGLAP5,472.81,3,PG,F
15PGLAP5,531.24,4,PG,F
15PGLAP6,240.53,1,PG,M
15PGLAP6,329.58,2,PG,M
15PGLAP7,246.24,1,PG,M
15PGLAP8,260.13,1,PG,M
15PGLAP9,229.65,1,PG,F
15PGLAP9,325.09,2,PG,F
15PGLAP9,385.42,3,PG,F
15PGLAP9,442.94,4,PG,F
15PGLAP9,488.09,5,PG,F
15PGLAP9,525.67,6,PG,F
15PGLAP9,574.82,7,PG,F
15PGLAP9,598.41,8,PG,F
15PGLAP10,272.94,1,PG,U
15PGLAP11,269.43,1,PG,U
15DHLAP1,359.15,1,DH,M
15DHLAP3,275.15,1,DH,F
15DHLAP3,390.5,2,DH,F
15DHLAP3,497.07,3,DH,F
15DHLAP3,596.33,4,DH,F
15DHLAP3,630.66,5,DH,F
15DHLAP3,656.88,6,DH,F
15DHLAP3,669.81,7,DH,F
15LSLAP1,226.49,1,LS,M
15LSLAP1,329.75,2,LS,M
15LSLAP1,387.83,3,LS,M
15LSLAP1,429.66,4,LS,M
15LSLAP1,466.77,5,LS,M
15LSLAP2,249.64,1,LS,M
15LSLAP2,410.36,2,LS,M
15LSLAP2,447.29,3,LS,M
15LSLAP2,475.4,4,LS,M
15LSLAP2,487.58,5,LS,M
15LSLAP2,501.85,6,LS,M
15LSLAP2,516.97,7,LS,M
15LSLAP2,529.13,8,LS,M
15LSLAP2,538.78,9,LS,M
15LSLAP2,551.37,10,LS,M
15LSLAP2,558.08,11,LS,M
15LSLAP2,564.39,12,LS,M
15PSLAP1,251.68,1,PS,F
15PSLAP1,351.88,2,PS,F
15PSLAP2,261.95,1,PS,M
15PSLAP3,362.54,1,PS,M
